KO.PLT_PBMC_Vehicle_REP1	KO.PLT_PBMC_Vehicle_REP2	KO.PLT_PBMC_Vehicle_REP3	KO.PLT_PBMC_Vehicle_REP4	WT.PLT_PBMC_Vehicle_REP1	WT.PLT_PBMC_Vehicle_REP2	WT.PLT_PBMC_Vehicle_REP3	WT.PLT_PBMC_Vehicle_REP4
Tpra1	1479.001	637.001	115.001	637	418	635.001	627.001	1299
Nab1	1400	588	97	499.999	553.993	441	462.996	850.998
Adgre5	4391.804	1659.042	339.469	1748.766	1210.253	2208.504	1840.089	3683.789
Il17ra	11633	4162.999	788	3753	1984	4859.999	4175	8953.999
Arrdc2	754.001	450.999	68	356	177.001	441.001	328	694.999
Cd36	91424	33520.001	6757	25405	40883	35161.999	35610.998	71668.001
Map2k7	2398.999	878.618	193	1155.006	212.682	1172.23	874.149	1879.845
Timm44	1143	319	68.999	304	505.999	441	430.999	814.999
Ap2a2	6298.281	2915.966	544.929	2699.977	1785.922	2563.913	2313.817	5437.976
Pnkp	2874.002	1083.999	222.999	745	789.001	1175.998	1084.002	2018.998
Med25	2840.897	697.048	111	840.857	320.999	943	710.999	1391
Clptm1	18809.001	8211.999	1378.999	8471	4813.999	6759	6341	13581
Relb	5120.001	1500	346.001	1920	711	1773.999	1660	2986
Tomm40	4836.189	1837.591	398	1756.24	1215.052	2074.999	1812.124	3437.061
Apoe	92715	42237.002	8250.999	34000.001	42416.961	49948.994	43339	85834.973
Apoc2	10202.411	5459.999	963	4044	5781	4690.998	4467	7745.525
Hbp1	14466.78	4316.015	996.078	3376.275	5138.631	5273.456	5097.474	11431.918
Prkar2b	3646	1349	274	1116	1238.001	1357	1401	2989
Cdkn1b	863	423	76	407	546	473	440	772
Klf4	154	72	19	110	119	95	127.999	146
Ap1m1	7131.001	2512	513	2485	2529.001	2734	2443.001	5547
Rab8a	17388.999	7063	1381.001	6432	6556	5965	5902	12182
Hmgn2	12041.09	5471.329	979.869	3633.419	6454.123	4952.088	4772.89	8665.969
Fam32a	9751	4044.898	801	3441	3124.211	4043	3271	6382.991
Stard3nl	2972	1130	231.999	1134	1166	1053.999	1002.999	2278
Stk11	6724.614	3349.493	701	3363.737	1764.881	2629.47	2321.64	5869.037
Efna2	200	54	12	63	3	38	31	69
Atp5d	3177	902.001	216	932.999	822	1842	1512	2525
Ppp5c	1229	578	133	428.001	309	480	707.999	1104
Cdk12	2842.999	1059.001	265	1065	738	1072	892.017	1898.001
Lipe	3940.522	1494.739	270.962	1584.005	711.029	1492.422	1281.713	2947.662
Pafah1b2	4030.001	1495	260	1444.607	1660	1601.622	1554.999	3301
Tbc1d8	6686.999	2223.91	452.301	2228.1	1021.717	2823.454	2317.487	4596.725
Cnot11	659	425	67	402	228.999	155.999	164	407
Slc2a3	590	311	35	155	101.994	186	85	159.064
Foxj2	1045	381	87	341	275	360	280	862
Sri	15802.001	6842.999	1249	5337.999	6903	5099.999	5219	11522
Dgcr2	3149.476	1127.358	121.372	1110.277	606.483	946	790.62	1730.674
Irf3	3140.999	1224.001	249.999	1005.998	836.999	1209.999	1091.001	2263
Bcl2l12	844.481	324.711	62.081	286.999	301	310.776	363.517	501.432
Zfp959	525.67	125.518	23.389	105.669	208.439	153.135	114.777	335.04
Mpnd	272	61	27	209.001	84	106	102	198
Sh3gl1	4184	1834	342	1491	969	1654	1732.999	3433
Ebi3	3234.792	1403.121	239.596	1146.41	1119.349	1168.353	958.679	1632.636
Yju2	1218.691	488.378	121.305	339.986	381.64	403.109	422.232	936.405
Ranbp2	1820	573	144	688	561.001	746	750	1771
Grk5	2701.001	1039	178	892.866	758.224	884	840.918	1537.648
Dvl3	1347	830.001	151	749.001	693	543	401	1305.999
Abcf3	3074.001	1248	312.999	1129	757	1453	1317	2331.999
Eif2b5	5678	2444.001	455	2729	1803.001	2108	1963	4371
Cyth2	2816.998	939.226	165	838.781	722.918	1038.306	984.546	2037.611
Plag1	116	34	17	42	76	24	32	65
Hck	13874	4744	1007	4702	4266	5157.001	4926	9285
Mrpl4	2552	948.001	198.001	816	818.999	1269.999	1040	1949.001
Keap1	3139.427	1432.533	155.952	1387.538	728.095	1100.409	1046.575	2277
Glg1	6564.384	2999	522	2434.999	1996.001	1942	2033.999	4125
Btbd2	155	63.001	9	93	74.001	33	32.999	40
Csnk1g2	428.001	128	28	223	223.999	117	158.999	246
Abhd17a	120	66	14	83	88	77	53	164.053
Mob3a	14860	4911	1096	5214.001	4317.988	5308.999	5005	10541
Cacnb3	1187	281	79	408.001	251.999	274.999	337.001	748.001
Ddx23	495.999	283.001	65.999	412	333	361.999	303	492
Pld3	11207.999	3758	800	3635.001	3252.001	5415.001	5199.001	10401.998
Cd79a	290	20	13	83	121	121	72	63.924
Rabac1	4904	1637	333	1568	1153	2433	1853.001	3016
Etv3	6598.999	2437.985	444	2658.001	1050.929	2211.983	2250.956	4328.984
Prkcsh	1473	433.999	94.001	527	263	630.999	647	829
St8sia6	187	64	24	80	6	74.845	75	88
Fcgrt	12731	5575	1072	4747	4485	4831.999	4071.999	8251
Nosip	4731.002	2387.86	393	2231	1522.971	2009	1768.001	3567.001
Pih1d1	1346.537	641.927	111.013	575.807	533.84	740.466	585.064	1089.397
Rps11	7827.851	3087.655	575.867	2322.026	3428.777	4209.406	3378.236	6194.179
Supt5	6805.051	2127.19	423.94	2063.875	1256.761	3158.522	2649.343	5510.155
Paf1	2752	1203.001	215.999	1038	1020.001	1267.002	967	1854
Timm50	2595	1259	214.999	1236	913	985	823	2180.999
Med29	919	474	83	414	391	442.995	367.743	693.926
Ncstn	13939.46	6867.633	1130.95	5168.593	5251.476	5344.184	4935.428	10746.162
Pex19	4748.001	2005.999	325	2098	1446	1790.999	1513.001	3392.001
Cyp4f18	25521.966	13812.75	2264.98	13391.973	13886.735	7855.707	8083.61	17254.108
Impdh1	526	146	27	174	41	265	298	381
Dusp3	22862.728	14815.365	2000.525	13458.006	10151.096	5833.099	6166.489	17876.978
Prodh	80	39	5	102.999	42	49	50	87.001
Ess2	1772.995	751.999	129	734.999	419	777.972	567	1397.996
Slc25a1	1661.999	580	95	580	410	698	597.001	1361.999
Dgcr6	790	285	35	284	228.001	342.001	237	556
Ier3	1107	310	73	339	338	681	542	1015
Klc4	829	429	45	307	220	322	289	616
Ercc1	1515.859	700.999	149.755	776.001	591.924	661.89	525.716	1241.695
As3mt	656.999	294.999	57	197.999	299	416	372	790
Homer3	5459.831	2575.088	472.437	1942.192	1421.936	2244.568	2182.706	4593.009
Crtc1	745.001	334	71	576	83.001	514.001	323.001	677
Rnf215	427.999	133	15	194.001	81	128	123	189.484
Crot	1052.936	302	98	278.112	348.003	518	501.848	962
Rps6ka1	6327	1908	352	1765	1618	2428.036	1969.928	4298.043
