KO.PLT_PBMC_Vehicle_REP1	KO.PLT_PBMC_Vehicle_REP2	KO.PLT_PBMC_Vehicle_REP3	KO.PLT_PBMC_Vehicle_REP4	WT.PLT_PBMC_Vehicle_REP1	WT.PLT_PBMC_Vehicle_REP2	WT.PLT_PBMC_Vehicle_REP3	WT.PLT_PBMC_Vehicle_REP4
Snrnp200	3479.754	1097	223	1134	902.519	1479.001	1254.979	2823.755
Ciao1	953	343	55	159	291	450	421.999	578.001
Taf6l	1516	736.001	125	660.001	432.999	647.001	504	1291.002
Insig2	1377	518	102.999	473.001	688.001	627	607.001	1410.001
Kpna6	1333	387	58	366.001	209.999	489	413	1065
Man1a	8557.998	2818	515.001	2564	1641	2997.002	2573	5094.001
Itpkc	154.224	55.441	16.064	63.531	83.103	39.569	44.054	155.339
Coq8b	1089.782	436.988	74.99	322.973	312.818	594.106	353.778	744.531
Brd8	6729.999	2952.969	559.992	3322.001	2183.421	2453.886	2450	4842.57
Kif20a	29.438	12.929	2.061	56.962	24.041	45.062	29.168	38.688
Farsa	3209	1104.575	245	1073.999	760.533	1601.999	1367	2264
Gcdh	187	115	20	99	83	128	93	214
Mast2	366.999	100.001	16	146	202	160	181	332
Dnase2a	2490.264	805.649	195.75	736.279	589.513	1450.461	1232.17	2305.705
Rad23a	1928.049	664.989	133.242	982.21	408.727	859.036	607.701	1274.847
Calr	16925.998	3942	1074	3505	5233	10116	8917	14172
Syce2	675.999	281	47	277	271	189	212	515
Nfat5	1760.15	765.581	190.999	801	683	722.27	846	1187.42
Nob1	1306	300.001	85.001	297	525.001	638.999	467	875
Nqo1	22811	7456	1680	6854	7020	8825	8539	16457
Gys1	811.241	275.219	32.819	394.777	170	311.183	319.19	451.056
Ruvbl2	2620.76	919.783	174.18	958.223	760.999	1050.818	998.81	1784.944
Bax	24871.024	11319.84	2161	11517.382	7197.423	9993.001	8511.001	19036.38
Il7r	1623.001	397	108.999	443.999	1195.001	1054	1225	2213
Tfam	775.999	296	39	264.999	166	232	215	409.999
Zfp81	472.001	130	40.999	111	192	157.999	217.001	346.606
Mmd	1899.024	541.566	89.795	505.482	601.403	694.217	614.903	1251.485
Fam162a	1171.186	491.001	113.001	495.934	610.967	594.752	490.769	992.72
Rpl8	3918	1335	292	869.001	1511.663	2245	1952	3148
Ssbp2	1101.228	510.97	93	499	399.76	422.658	426.956	688.493
Fancl	312.862	102.12	18.486	84.826	118.917	115.149	129.393	148.12
Stat3	22972.426	11264	2009	10396.998	7290.001	8142.449	7243	17421.1
Stat5a	1731.351	721.327	114.857	553.771	408.327	713.399	654.639	1371.755
Map3k11	7132.581	2935.978	628	4241.97	659	2703	2444.856	5298.533
Akt2	2339.567	1253.716	234.989	1394.487	641.904	947.732	813.56	2249.349
Dnaja3	2888	1068	195	706	887	1074	1099.999	2505
Hmox2	4172.164	1632.034	317.822	1252.183	1826.19	1740.159	1474.841	2768.8
Cdip1	3506.925	1201.967	267.178	1169.864	849.832	1151.835	993.159	2247.401
Map3k20	1131.006	468.005	86.001	365.006	628.472	572.011	531.013	1181.999
Cwc15	2942.001	1127	250	1003.001	1086	1483	1297.001	2337.001
Dnmt1	1578	547.001	89	353.001	501	732	590.001	1008.999
Ppan	1228.068	411.741	107.001	379.747	370.43	605.091	445.902	909.52
Angptl2	175	49	18	30	62	65	99	188
Trmt10a	248.98	23.752	16	98.923	46.003	50.715	83	213.994
Kifc2	248.578	101.075	11	67.097	40.001	121.562	58.066	149.096
Psap	273037	89793	20665	83830.999	85592	152112	138040	260276.989
Ikbkg	8625.681	3828.939	734.417	3582.56	2412.377	3363.543	3260.38	6563.784
Wars2	296	116	19	87.001	139	130	115.001	246
Atn1	1438	659	102	507.264	287	655.001	678	1266
Phb2	4403.232	1588.294	362.001	1587.999	1197.745	2048.993	1681.442	3671.298
Ptpn6	33209.157	13734.572	2558.743	11814.533	10007.772	13708.806	12017.604	23235.044
Emg1	2976.102	1587.975	289.819	1149.513	1122.682	1489.644	1185.047	2265.615
Lpcat3	4185.897	1945.024	315.18	1479.486	1308.317	1822.357	1836.954	3302.385
Atp6v1f	8658.908	4008.912	686.974	3043	3614.944	4051.649	3622.955	6940.962
Clcn5	552	205.001	63	157	313.001	308.999	207	470
Clcn3	1804	712.017	125.999	625.001	486	828.002	751	1431.192
Utp20	813	326	94	165	349	369.001	322	678
Spic	2625	1202.001	222	1124	741.985	1234	1058	2127
Cul3	1215.001	499.999	119	335	644.214	422.335	347	846.361
Ddx56	3670.001	1680	357	2031	1257	1469.999	1435	3358.999
Tmed4	3708	1847	251	1219	1612.999	1444	1420	2804
Bid	1230.133	669.943	109	439	564.513	518.042	578.001	1082
Ralb	13653	4550.001	1032	4854	3715.001	5321	4839	11073
Ppp1cc	2227.235	1656.473	208.078	1581.104	827.964	514.209	652.777	1390.394
Dnajb11	13390.001	5057	1073	4454	4810	5319.909	4688	10227.999
Tbccd1	1072	234.999	41.001	204	330	342.001	374.001	668.001
Zfp324	96	41	16	72	33	150.999	55	136
Gab2	3112.103	1084	213	1011	875	1174	901	2184
Coro1c	15994.169	5451.577	1157.204	5413.245	4044.362	6980.338	5991.113	13565.505
Tax1bp1	18740.667	6916.794	1281.679	5745.7	7489.637	6883.848	6640.247	14631.613
Ctse	494	116	34	192	176	277	185	406.999
Mettl17	417.05	171.175	28	146.186	80	149.057	174.159	387.736
Arhgef40	139.999	37.998	12	40.497	35	106.06	37.089	160.11
Pnpla6	1087	435	77.001	407.001	151.001	391.999	318	710
Mcoln1	3988	1736	324.996	1443	1241	1641	1467.999	3193.001
Arhgef18	86	54.001	8	88	30	83.999	49	106.999
Pkn2	1984	1126.999	204.001	745.001	1066	669.992	698.001	1352.005
Cd33	186	56.999	11	45.999	8	128	105	195.001
Etfb	2776	1095	217.001	871.999	923	1130	1038.001	1846.001
Stxbp2	8843	3478	723	2975.995	2389.001	3774.001	3400.999	6766.788
Chn2	109.591	54.995	8	43	8	32.735	7	27.008
Wwox	270	99	25	169	104	65.001	56.998	204.999
Slbp	9845.479	2883.611	642	1964.979	3516.963	3936.921	3845.945	7397.914
Arid3b	1354.54	718.778	152	736.999	377	426	430.001	1252.002
Cnn2	6477	2050	416	1865	1317	3069	2730	4262
Polr2e	5096	1823	436	1291	1764	2513	2095	3763.999
Myo9b	9716.995	4182.591	781	4311.676	1268.503	3833.577	3008.37	8001.705
Ly9	9210	3275.188	703	2529	3367	4802	4253.999	8661
Cd244a	747	415	68	513	320.999	228	249	582
Adgre1	49462.999	16211	3196	13852.001	14781	19663	17587	35409.999
Rab23	62	5	27	30	32	55	43	89
Rab11a	10268	4181.999	853.999	3296	4016	4340	4210.999	8528.001
Eif2b2	910.001	468	101	302	380	576	432	872.999
Dlst	1142.001	512	114	681.001	578.999	800	820	1266.224
Ulk2	568	241	32	211	102	98	149	350
Ccl24	98	104	10	39	81	86	101	124
Dgkq	622.048	256.477	64.44	411.178	197.156	359.215	283.444	589.823
Grap	258	128	26	135	14	94	113	197
Chmp2b	1766	762	122	598	744	807	702	1472
Plod3	3141.612	1196.467	204.717	1074.205	763.104	1939.122	1556.167	2635.7
Ap1s1	3697	1435	236	1596	742	1452.001	1208.999	2842.999
Mapk13	96	38	6	30	59	16	11	27
Srpk1	2973.463	1266.156	227.118	2859.439	935.592	1205	961.972	2243.499
Lbr	7421.921	2926.631	450.469	2312.288	1521.74	2770.626	2282.821	5573.052
Prcc	727	229	58	343	129	331	277	575
Rrnad1	971.529	659.335	91.787	499.267	243.164	526.266	366.553	929.401
Hdgf	4354	1879	349	1823	1359.001	1789	1673	3484.999
Thop1	108	43	12	33	37	96	92	153
Apba3	2173.001	624.999	172	742.998	534	1064.999	800	1533.001
Matk	490.999	169	28	197.001	140	156	97	381
Pias4	2815	1533	260.001	1388	864.226	1199.999	1155	2091
Map2k1	5263.513	1933	430	2023	2034.289	2361	2235	4325.556
Sgta	6811	2572.999	475.999	2293	1928	2643	2599	5333.001
Tmem242	1889	879.001	140	717	884	757	779	1468
Dtx2	977	685	76	514	331	657	642.001	1181
Rasa4	2243	1050.997	215	1067.999	588.974	981.983	849	1951.234
Hnrnpa2b1	26233.997	8116.997	2025.998	7247.001	6892.991	13231.998	11816.997	22043.989
Fxyd4	56	41	5	54	35	14	19	58
Ccdc130	1186	619.999	133.001	493.001	525	472	401	949.001
Mri1	221.999	95.999	24.001	59.999	49	116	80	222
Prkacb	1098.999	398.999	90.999	265	268	472	472.001	873.999
Sgsh	355	35	25.401	152.46	15.518	185.34	117.073	124.564
Cstb	24892	8870	1978	5661	11074	13275	12119	22719
Sh2b2	1678.999	748	163	550.001	355	582.999	440.999	1127.001
Pex5	739.999	289.001	62	339	208	461	304	681.999
Jkamp	1983.001	1050	163	922	834	865	782.001	1559.985
Cd44	14838	4475.001	1083.999	4542.999	6660	7942	7224	12591
Eif2ak4	285.999	128	35	145	67	196	145	241.001
Wdr1	23177.119	8241.999	1579	6416.001	6852.002	9345.005	8493.005	17312.838
Ndrg1	587.787	255.001	52	144	361.22	255	243.936	454.994
Man2b1	10090	4081.001	824	3596	2706	4524	3973	8651.928
Wdr83	828.701	370.293	62.365	238.017	325.013	388.909	450.124	659.355
Prdx2	2662.464	978.289	171.572	701.933	671.226	760.378	760.44	1325.086
Polr2a	4325	1484	295	1459	733	2517	2167	4447
Senp3	1806.968	731.994	104.999	845.988	429.939	749.991	642.99	1431.976
Plekha8	220	74	19	107	85	71	108	93
Dnah2	198	66	23	59	88	118	98	192
Ufd1	4750.999	2088.001	407	1757	1995.999	2096	2065	4483.999
Zfp287	373	217.999	16.999	103.001	107	120.001	89	204.416
Letm1	4325.001	1149.001	273	1358.999	1158	1564	1750	3078
Ubqln1	13712	5050	938	4699	3413	4941	4620	10214
Txn2	6321.001	2459.001	474	1833	2141.001	2792	2405.836	4858
Crbn	2635.866	817.137	163.863	672.695	863.639	768.433	950.288	1781.658
Msh6	674	207	43	64	273	355.992	257	435.962
Fbxo11	1237	445	87	333	451	296	424	1075
Tbl2	1021	346.718	73.999	361.001	189.999	356	418.999	712.001
Bud23	2770.027	1290.424	268.467	1309.752	818.273	1231.848	1158.196	2106.981
Mcm5	917.001	237	43	235	235	287	277.001	444
Hmox1	13543	3691	769	3045	3010	7357	5852	9960
Mprip	1025.552	446.767	102.891	420.442	280.784	359.397	340.112	1022.752
Cic	1487.001	591	104	859	171.999	604.001	535	1313
Pafah1b3	336.001	167	38	113	88.001	122.001	163.001	272
Il27ra	101	49	3	51	50	36	35	103.999
Prkaca	412	196	29	145	174	121	109	226
Asf1b	1347	742	90	423	444	438.001	349	785
Ddx39a	7788.196	2990.957	612.532	2682.234	3477.747	3470.496	3084.91	6296.211
Dnajb1	5440	2198	354	2505	1702	1857	1719	4013.999
Usp40	973	527	93	425	260	502.999	337	646.001
Kbtbd4	1060.828	310.392	100.857	357.974	302.962	463.688	472.116	970.919
Celf1	5568	2473.001	394.001	2074.999	1688.001	2438	2202.001	4410.999
Ndufs3	3138.742	1343.787	226.923	1121.84	1314.094	1100.725	1021.66	2259.508
Por	8432	2449	558	1982	1835	4622	3978.001	7358
Igf1r	1531.999	1075.001	127	1038.001	810.999	462	461.001	1045.999
Insr	560	210	45	328	178	190	191.999	327.608
Trim28	975	463	89	361.001	498	299	319	747.001
Ube2m	757.001	335	60	255	232.001	292.001	234.999	557
Mef2c	1388.996	586.001	147	540.998	783	625.998	584.999	957.998
Ctr9	3091.001	1395	249.001	1143.001	1277.97	1178.001	1511.999	2358
Eif4g2	43521	15574	3086	13894	11890	19318.999	17674.998	36992.998
Pcyt1a	4715.454	1962.802	337.94	1612.655	1677.695	2394.474	1915.826	4046.326
Zfp592	1613.999	583	129	603	178	817	696	1316
Psmd4	11264.001	5709.999	930.001	4834	4724	4103.001	3854.999	7989.999
Snx6	6827	2886	523	2165	2903	2342	2438.002	5168.001
Mthfd2	2179	836.999	135	645.999	723.001	1078	1015.999	1745
Kit	593	269	41	149	227.001	138	174	258
Tomm40l	342.694	65.079	35	92.947	81.408	145.98	129	222.819
Pan2	1278.999	682	79	442.999	309	466	439	1055
Cs	6014.998	2110.998	453	1864	1687.995	2787.975	2306.971	4539.97
Ampd3	1311.967	485	63	354.994	235	606.943	584.62	1060.692
Bcas2	3837	1456.001	350.984	1379	1960	1495.999	1392.923	3001
Ctcf	1292.433	700.001	108	414.018	748.258	528.631	445.276	958.779
Pard6a	273	99	28.999	61	101	102.999	83	188
Tfap4	109	57	7	75	34	76	56	56
Ranbp1	11752	5060.999	951	4316.999	4977	4533.395	4109.998	8761
Rfx5	860.991	293.127	55.323	251	291.088	312.959	246.323	409.792
Psmb4	3648	1288	220	1166	1263	1518	1285.999	2762
Mmp8	107089	33492	7400	26019.998	39504	39804	35740	78369
Sqor	4774	1525.999	361	1240	1241.999	2573	2266.999	3431
Bloc1s6	1203	297.999	69	292	412	467	404	688.999
Metap1	1619	384	96	399	423	580	656	1174.999
Gpr108	4929	1806	408.001	1681	1642.001	1951	1875.001	3979
Rsl1d1	3094.999	1237	185	690	1288.001	1258.999	1096	2374
Apc	583	232	55	373	283.624	280	272.999	561.001
Reep5	9743.999	3487.001	679	3094.999	3546.999	4868.001	4229.999	8079
Ergic3	3295.999	1202.999	222	1149.001	1153	1465	1081	2677
Uqcc1	1481.001	685	93	470	424.001	599.999	673	1342
Ncoa2	2081.879	662	163	729.001	503.001	659.001	585.001	1491.001
Nr2c2	1690.4	996.765	184.809	1071.85	874.978	554.815	595.21	1238.117
Nr2c1	497	95	23	101	128	144	171	283
Smpd4	1303.821	542.011	75	411.006	277.036	459.043	404.021	1009.023
Pex1	502.05	167.757	36	94.799	137.24	148.572	188.037	323.756
Kctd20	7289.001	2758.99	499	2856	1788	2935.945	2548.001	6187
Ctns	1305.999	733	127	525	677	547	542	1344
P2rx5	197	39	21	90	18	59	96	91
Tuft1	188	50	14	35	53	46	70	133.812
Rcn1	22	37	2	25.988	12	18	30	111
Dnase1	74.478	23	6	49.465	29.96	35.023	25	82.729
Trap1	2703	963	221	747	1004.992	1267	1047	2040
Naa60	2311.374	591.863	142.954	709.294	505.869	1021.168	961.848	1864.226
1700037C18Rik	110.324	124.476	14.047	62.629	109.195	125.95	126.787	270.561
Ankrd13d	222.999	71	17	57	32	71	85	93
Tpr	10685.405	4528.161	850.658	3702.61	4574.289	4518.552	3782.209	8207.595
Odr4	1961.426	760.836	133.34	574.366	888.098	621.428	755.631	1399.504
Dhx34	598	195.001	72	281.999	150.999	395	373	589.001
Kptn	652	202	45	136	127	331	261.001	354
Napa	10383	4071	857.001	3912.001	3343.001	4331.999	4258	8923
Sra1	6861	3185.999	563.999	2568	2659	2621.999	2437.999	4972
Atp5g1	3130.758	1337.673	314.001	922.741	1563.63	1705.684	1452.991	3107.928
Snf8	1667.947	964.998	175.001	760.001	452.962	511.996	459.989	1109.927
Tbcb	8336.106	3651.47	655.837	2703.82	3197.865	3233.436	3153.743	6064.149
Inpp5k	5797	2060.999	452	1761.998	1896.999	2175	1752.999	3629.001
Crkl	1838.001	763	142	884	630	892	821	1915
Clint1	947	361	78	275.001	401	333.999	298.001	640
Cdkal1	554	266	56	269.001	157	275.001	316.001	590.005
Htra1	55	24	0	8	46	17	50.001	54
Zbtb17	1169	379	87	484	222.999	459	450.999	848
Fblim1	175	86	2	51	31.999	149	141	358
Mob1b	1002.999	329	70	374	202	410	332	699
Atp6v1b2	38424	17239.999	2902	13714	15153.999	12163.001	11765	25944.001
Eps15l1	2484.902	978.98	190	977.992	543.984	1112.95	1078.941	1828.777
Tep1	1072.997	374.001	94.007	376.906	315.41	598.803	450.307	953.809
Ttc5	3715.971	1189.993	247	1400.965	1110.866	1265.91	1170.952	2356.832
Osgep	1504.055	436.577	93.777	521.093	592.037	609.912	521.761	1155.72
Aamp	13992	5451.999	968.999	4872	4225	5405.938	4828.001	9942.023
Tmbim1	6768.067	2113.002	506.999	2288.001	1854.714	3778	2906.057	5532.14
Arpc2	83443.999	34961.995	6316.001	30141	29531.98	31447.99	29913.967	63095.956
Kmt2b	611	287	58	340	94.999	285	201.001	542
Zbtb32	112	89	9	66	48	76	50	129
Tmem147	1931	894	154.001	631	851	774	624.001	1412.999
Rps9	13696.741	4648.24	966.893	4010.549	5239.393	7029.27	6104.81	10438.802
Tfpt	1294.001	651	129.999	442.999	436	484	394	908
Ggt5	626	291	58	243	195.001	234.999	201.999	546
Crip2	113	73	14	23	34	28	48	83.001
Crip1	1941.999	570.001	157	236.999	865.999	1074.001	788.001	1600
Cbfa2t3	1628.917	558.015	136.81	846	224.999	612.3	527.717	973.928
Pgrmc1	2324	479	128	348	701	1066	971	1730
Gcat	211	32	3	75	72	60	69	95
Elovl1	10601.999	4430.999	770	3723	3010	4046	3446.936	7177
Med8	5670.001	2632	499	2088	2298.001	1918	1767	4001.999
Hyi	218	101	27	130	57.207	146	111	262
Cdc20	67	70	7	64	30.802	39	68.063	77
Pfdn2	2842.85	852.509	198.872	742.956	994.253	1481	1148.841	2057.368
Rnf114	6008	1719.001	411.999	1638	1822	2453.876	2084	4597
C330007P06Rik	1148.744	332	66	323.905	517.924	464.89	462	1035.26
Srm	1757	616	141	522	603.401	744	659	1433.998
Rbm14	1001.744	244.978	107.823	375.242	297.153	796.409	494.961	1092.262
Zdhhc24	1539.001	672.001	76	492	358.999	591	444.001	1199.001
Ndor1	2438.854	963.608	184.104	906.014	585.201	1124.51	895.534	2404.105
Nsmf	713.999	409	24	332.001	152	284.001	272	570
Pdk1	1009	415	77	357.999	282	509	498	895
Ptbp1	4173.117	1277.062	300.432	1655.273	1126.204	1994.957	1583.67	3557.985
Mvd	1511	458	87	341	324	620	519	965
Cyba	89950	31641	7140	24975	31624.001	42416.001	38679	71870
Stimate	1638.001	645	130	502	438	583.001	541	799
Sfmbt1	843.001	431	78	360.001	412.999	428	391	809.999
Cdt1	1021	504.999	85	434.001	338.001	530.999	377.001	784
Aprt	7569.001	2887.998	514	2458.001	2621.998	3470.999	3230.999	5549
Gtf2h1	1378.001	364	73	373	691	680	640	1229
Hfe	1584	725	133	508	582	775	676	1233
Abhd1	656.254	375.445	59.89	239.52	189.953	360.154	272.025	470.839
Slc5a6	471.128	67.385	27	108.312	42	57	122	210.759
Qrich1	5443.089	2360.202	483.11	2242.835	1996.588	2397.944	2183.957	4380.433
Usp19	3150	1379.999	272	1052.001	549.999	1655.998	1482.999	3192
Pola1	189	34	24	72	29	98	50.029	106
Cdc42	48454.981	18644.997	3495	14708.993	19850.947	18998.979	17997.966	37331.953
Pknox1	2571	1006.998	165.999	834.999	720.002	978.993	1000.064	2004.979
Acot13	808	293	33	194	275	300	255	585
Cdk4	3707.95	1352.438	222.429	1318.045	1214.084	1537.917	1664.37	3213.312
B4galnt1	16106.198	6642.089	1269.647	6692.519	4035.88	6481.576	5985.077	11736.97
Mettl1	634	248	65	245.001	218	316	371	567
Tspan31	9137.049	3398.562	724.571	3129.956	3436.727	3737.083	3266.394	7660.688
Kif5b	16415.338	9021.289	1524.298	7398.317	6844.489	5607.239	5395.058	12104.639
Saal1	583	133	19	125.001	173.999	206	124.999	272.001
Cnp	852	401.356	51	224.637	163.11	301	390.541	638.765
Sulf2	2676.906	1066.071	184.718	823.892	1061.298	1149.422	1156.825	2396.825
Sod2	28759.985	12131.871	2303.265	11213.976	9591.641	10610.1	10930.433	21388.958
Tmco6	837.001	497	79	397	216	293	260	700
Stambp	1149.998	528	82.999	441	414.001	534	557	1147
Ezh1	3968.999	1032	233	1101	723	1331	1215.001	2220
Hap1	198	76	12	24	27	26	65.001	130
Ctnnb1	2539.051	864.027	182.711	869	958.92	992.87	930.18	2146.06
Eif1b	1083	369	99	309	307	500	498	734.999
Psmd2	20305.806	9329.856	1736.963	7640.045	8647.443	7669.679	7368.317	16112.622
Vars	1958	417.001	118	677.999	146.999	692.999	651	1299.99
Abhd16a	3192.999	1373	272.001	1253.999	688.999	1325.001	1248.999	2453.001
Neu1	2795	1101	221	1133	904	1983	1740.001	3012
Clic1	20806	9727.486	1657.303	8440.348	8534.491	9154	8230.411	16665
Lsm2	832	464.999	69.105	263	298	327.999	355.001	716
Pole	49.42	34.001	2	63	9	18	30.009	48.001
Zfp775	227.636	162.42	23	150.817	32	104	53	128.736
Mrpl49	1380.001	347	88	349.02	467	431.497	332.213	953.994
Dennd2c	80	49	15	38	38	33	65.001	83
Mark3	433	270	29	153	229	188.037	129.999	226.029
Gatad1	1676.004	1247	137	1006.015	838.041	524.004	506.002	1221
M6pr	65137.611	25942.568	4848.964	23501.722	22866.788	24157.479	23303.314	48753.888
Lrrc8a	2208	1561	254	1345.984	1383.808	635	663	1697.987
Ppp2r1a	8318.001	2592.001	532	2655	1935	3960	3496	6827.998
Fance	322.999	121	15.083	121.999	80	199.999	156	374
Tinf2	867.71	559.922	65.656	335.863	293.997	517.01	467.774	739.868
Dus3l	1873	565	110.999	574	295.999	759	751	1250
Gtpbp3	190	71	17.999	168	70.883	129.999	154	238
Tgfbr1	15813	6029.999	1226	4278.999	5878	6600	6375	13006.001
Homer1	148.999	224	29	150.001	68	100.999	118	166.001
Cav1	570	176.999	45	112	235.001	276.001	304.001	346.999
Arpp19	6484.999	3090.999	570.999	1410	2659	2715	2097.999	4909
Bcl2l1	2216	911	199	1448	1257.001	991	1017.001	3298.001
Khsrp	1123.739	642	137	446	493.838	450.939	302.193	1033
Ccdc124	4108	1683	317	1451	1352	2110	1750	3409
Cct4	8158.001	2436	513.999	1939.999	3015	3338.999	3192.001	6477.999
0610009B22Rik	1484.715	661	125	529	676	480	489	1008.242
Zfp655	1717	551	96	383	551	729	598	1487
Rhoa	28426.542	11906.832	2117.544	8881.259	11001.01	11540.718	10446.388	19763.871
Zmiz1	5241.771	1579.035	383.999	1876.855	1399.871	2309.789	2201.905	4365.836
Ankrd26	181	58	8	23	37	44	55	86
Aldh16a1	1479.461	573.073	116.986	672.193	258.16	731.533	622.936	1347.603
Hnrnpa0	528	196	43	229	183	181	183	390.779
Prrg2	893.999	328.139	34	212	166.029	213	280	560.999
Hnrnph1	2144.451	929.294	194.759	824.562	823.981	920.053	723.135	2167.259
Ift43	209	61.001	2	60	68	33	44	45.001
Id3	1319	412	85	260	286	674	575	1003
Arid1a	3174.985	1288.001	246	1633.997	1053.993	1273.656	1264	2730.31
Ctsd	109372.413	34932	6980	33570.001	22123	57887	51065.001	94503.711
Rplp1	4198.76	1814.788	297.923	882.96	1590.448	1935.705	1551.639	2849.552
Abhd8	453	158	47	125	90	232.026	145	304.114
Ift22	259	132.001	17.999	63	91	100.999	94	249
Mid1ip1	2273.136	753.92	188	739.259	596	879	913.715	1742.522
Ap2s1	4571	1698	293	1751	1410.995	1882	1538	2840.999
Emc10	5388	1968.999	388	1739.999	1593.001	2236.002	1945	4098
Fbxw9	155.999	64	8	41	71.985	145.999	77	170.636
Fnbp4	6164.999	3068	533	3125	1635.001	1862.001	2190	4862
Cers4	300.001	159.001	21.999	156.999	132	107.062	105.62	250.999
Scrn3	101	49	10	53	59	70	64	122.001
Phax	2120.492	845	122	769	662.268	803.44	713.267	1581.809
Tle1	323	198	30	153.001	113	74	99.001	222.145
1700109H08Rik	218	181.759	27	265	110	102.026	107	241.446
Relt	1677.999	702	141.001	561	309	695.001	830	1068.99
Snrpb2	2067	634	152.001	465.999	655.999	900	786	1456
Ubc	13890.158	3342.87	957	3442.896	3926.376	8062.088	6975.441	11619.592
Prpf31	3015.004	1139.96	218.142	1062.059	1027.09	1304.146	1071.616	2130.565
Sertad1	749	267	33	220	215	368	321	637
Carhsp1	2332.914	1524.895	242	1161	942	778.927	763.956	1651.963
Elk3	1312.943	468.819	101.78	634.641	531.738	653.148	598.393	1095.628
Herpud2	1536	606	64	617	375	480	486	855
Rdh13	1117	910	128	747	802	384.999	453	1305
Nutf2	4221.503	1328.56	278.85	1264.09	1474.277	1918.525	1836.687	3382.846
Arpc5	65136.864	28883.963	5090.955	21710.97	28071.751	23051.926	22271.707	48777.484
Pou2f2	3364	1453	279	1733	985	1776	1596.999	2570.953
Mgst1	18720.999	7725	1500	5449.999	7360.993	6866.999	6790.999	12945.997
Ubqln4	2883.999	1444.999	236.999	1439.999	717	1239.999	1219	2904.001
Rps18	5733.067	2230.179	488.295	1543.711	2449.546	3230.979	2821.686	5287.499
Rpl10	8953.691	2246.632	552.753	1792.17	3560.112	6060.067	4883.344	7776.969
Rps15a	1326.452	486.761	76.43	218.545	688.349	882.241	754.116	1147.068
Ncaph2	3371.29	1832.964	289.098	1464.883	1254.343	1507.361	1301.384	3047.524
Hipk1	5180.996	1943	512	1333.001	4339	2249.899	2317.984	4617.996
Gprc5b	45	18	8	0	8	10	9	209
Man1a2	3591	1145	227	881.999	1173.999	1271	1205.999	2767.001
Acyp1	95	73	13	62	29	40	41	111
Hdac5	5601	1603.836	350.999	2344.744	606.539	2269.982	1754.531	4051.48
Rala	4631	2365	377	1872	1673	1745	1802	3863
Vdac3	9506.944	3986.706	842.398	3720.628	4175.461	3722.662	3620.209	7695.81
Vps72	4598.999	2177	413	1745	1285	1795.997	1685	3254.958
Gabpa	2301.966	745.666	198.049	608.199	759.911	945.586	1030.316	2017.576
Dynll1	5505.934	1460.987	326	993	1665.997	4169.999	3142.999	4737.95
Pdcl	985	428	92.001	267	278	590	598	1140
Tmem184b	3809	1174	287	1506	493	1674.001	1658	3553.794
Nf2	1927.001	1013	126	793	284	852	859.999	1410.981
Zmat5	2421.901	869.295	198.905	753.111	1040.451	904.265	811.435	1665.618
Ewsr1	30995.116	14883.725	2883.905	13210.668	12206.702	11588.097	11207.848	25369.172
Ap1b1	1552	698	156	612	263	660	576	917
Bcl2l13	1630.866	429.057	90.001	508	412.487	667.959	581.001	1011
Lnpk	852	343	65.999	225	274	256	320	605
Pttg1ip	8078.001	2563	498	2026.999	2693	3601.001	3337.001	6701
Trpm2	192.011	133	15	126.001	76.001	164.001	148	229.999
Ube2g2	6849.297	2899.869	601.087	2782.959	1902.705	2948.626	2569.188	5277.987
Met	2708.001	677.999	181	619	764	1109	1069.999	2133.001
Elk1	640	196	47	214	123.417	241	266	554.602
Nav1	1824.55	753.908	174.375	971.771	683.7	882.609	764	1428.843
Tnpo1	2374.955	796.933	151	771.911	908.906	812.933	1026.886	1664.872
Rnmt	2665.999	1338.001	200	966	1058.001	990	1002	2024.001
Srp14	6205	2321.999	477	1864.947	2193	2425	2327	4445
Cdk9	1486.001	709.001	120.999	691	356	478.381	496	1230
Tor2a	4359.813	1975.355	300	1786.223	1417.54	1306.941	1279.952	3208.493
Fpgs	385.999	173	20	182.999	26	217	208.999	463.001
Mrtfb	1799	1086.997	135	983.999	871	727.719	607.978	1419.683
Cbx5	1036	600	98	449	383	551.001	475.999	799
